Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        255    0 0021FC70 AppCompat_RunDLLW
        263    1 000467D0 AssocCreateForClasses
        267    2 00227550 AssocElemCreateForKey
        268    3 002277F0 AssocGetDetailsOfPropKey
        701    4 0022E970 CDefFolderMenu_Create2
         83    5 0022F770 CIDLData_CreateFromIDArray
        937    6 001BEF90 CStorageItem_GetValidatedStorageItemObject
        269    7 0011FF10 CallFileCopyHook
        272    8 00236A70 CheckEscapesW
        273    9 000A3C20 CommandLineToArgvW
        274    A 00239D20 Control_RunDLL
        275    B 00239D20 Control_RunDLLA
        276    C 00239DA0 Control_RunDLLAsUserW
        277    D 00239DE0 Control_RunDLLW
        935    E 001BEFD0 CreateStorageItemFromPath_FullTrustCaller
        936    F 001BEFF0 CreateStorageItemFromPath_FullTrustCaller_ForPackage
        920   10 001BF010 CreateStorageItemFromPath_PartialTrustCaller
        921   11 001BF030 CreateStorageItemFromShellItem_FullTrustCaller
        925   12 00025330 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage
        929   13 001BF050 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage_WithProcessHandle
        931   14 001BF070 CreateStorageItemFromShellItem_FullTrustCaller_UseImplicitFlagsAndPackage
        129   15 0010E8D0 DAD_AutoScroll
        131   16 000BA2E0 DAD_DragEnterEx
         22   17 002517F0 DAD_DragEnterEx2
        132   18 002518F0 DAD_DragLeave
        134   19 00251930 DAD_DragMove
        136   1A 000BA2E0 DAD_SetDragImage
        137   1B 000BA2E0 DAD_ShowDragImage
        278   1C 000A2360 DllCanUnloadNow
        279   1D 001B8710 DllGetActivationFactory
        280   1E 0006E3F0 DllGetClassObject
        281   1F 002556E0 DllGetVersion
        282   20 002557B0 DllInstall
        283   21 0010E8D0 DllRegisterServer
        284   22 0010E8D0 DllUnregisterServer
        285   23 001AE890 DoEnvironmentSubstA
        286   24 001AE940 DoEnvironmentSubstW
        287   25 000B9560 DragAcceptFiles
        288   26 001B3130 DragFinish
        289   27 001B3150 DragQueryFile
        290   28 001B3150 DragQueryFileA
        291   29 001B3180 DragQueryFileAorW
        292   2A 001B3450 DragQueryFileW
        293   2B 001B3620 DragQueryPoint
         64   2C 00256810 DriveType
        294   2D 0009F530 DuplicateIcon
        295   2E 001AEA70 ExtractAssociatedIconA
        296   2F 001AEB60 ExtractAssociatedIconExA
        297   30 001AEC50 ExtractAssociatedIconExW
        298   31 001AEEC0 ExtractAssociatedIconW
        299   32 001AEF90 ExtractIconA
        300   33 001AF020 ExtractIconEx
        301   34 001AF020 ExtractIconExA
        302   35 000936E0 ExtractIconExW
        303   36 001AF0A0 ExtractIconW
        304   37 00265600 FindExecutableA
        305   38 002656E0 FindExecutableW
        306   39 000DE6B0 FreeIconList
        307   3A 002662C0 GetCurrentProcessExplicitAppUserModelID
         63   3B 002691C0 GetFileNameFromBrowse
        919   3C 001BF090 GetSystemPersistedStorageItemList
        154   3D 00270BD0 ILAppendID
         18   3E 00067310 ILClone
         19   3F 00095870 ILCloneFirst
         25   40 00067410 ILCombine
        157   41 00270DF0 ILCreateFromPath
        189   42 00270CC0 ILCreateFromPathA
